Login 1,Family Name 1,Given Name 1,ORGU 1,Pub ID,Login 2,Family Name 2,Given Name 2,Cat,ORGU 2,Organisation
jc111119,Lindsay,David,2124,40876,jc144332,Smyth,Wendy,staff,2124,Queensland Health
jc111119,Lindsay,David,2124,40876,jc134134,Holmes,Colin,staff,2124,
jc111119,Lindsay,David,2124,40876,jc174198,Gardner,Anne,staff,2124,Australian Catholic University
jc111119,Lindsay,David,2124,44581,jc144332,Smyth,Wendy,external,,Townsville Health Service District
jc111119,Lindsay,David,2124,44581,jc134134,Holmes,Colin,staff,2124,
jc111119,Lindsay,David,2124,44581,jc174198,Gardner,Anne,staff,2124,Australian Catholic University
jc111119,Lindsay,David,2124,44581,,Rahman,Kazi Mizanur,external,,Griffith University
jc111769,Langtree,Tanya,2124,28246,jc138020,Mills,Jane,staff,2124,
jc111769,Langtree,Tanya,2124,28246,jc157944,West,Caryn,staff,2124,
jc111769,Langtree,Tanya,2124,28246,nskju,Usher,Kim,staff,2124,
jc111769,Langtree,Tanya,2124,28246,jc227229,Henry,Renee,staff,2124,
jc111769,Langtree,Tanya,2124,28246,jc145680,Chamberlain-Salaun,Jennifer,staff,2124,
jc111769,Langtree,Tanya,2124,28246,jc223002,Mason,Matt,staff,2124,
jc111769,Langtree,Tanya,2124,28198,jc139696,Baldwin,Adele,staff,2124,
jc111769,Langtree,Tanya,2124,28198,jc212261,Bentley,Karyn,staff,2124,
jc111769,Langtree,Tanya,2124,28198,jc138020,Mills,Jane,staff,2124,
jc112299,Bonassi,Marianne,2123,39535,jc223422,Boehm,Jackie,staff,2123,
jc112299,Bonassi,Marianne,2123,39535,jc162352,Tanner,Bronwyn,staff,2123,
jc112299,Bonassi,Marianne,2123,39535,jc258042,Lowrie,Daniel,staff,2123,
jc112299,Bonassi,Marianne,2123,39535,jc227100,Brown,Nicole,staff,2123,
jc112299,Bonassi,Marianne,2123,39535,X15153,Thomas,Yvonne,external,,"University of Worcester, United Kingdom"
jc112299,Bonassi,Marianne,2123,39535,jc248454,Cordier,Reinie,staff,2123,
jc112299,Bonassi,Marianne,2123,42010,X16636,Scanlan,Justin Newton,external,,The University of Sydney
jc112299,Bonassi,Marianne,2123,42010,,Pépin,Geneviève,external,,Deakin University
jc112299,Bonassi,Marianne,2123,42010,,Haracz,Kirsti,external,,The University of Newcastle
jc112299,Bonassi,Marianne,2123,42010,,Ennals,Priscilla,external,,La Trobe University
jc112299,Bonassi,Marianne,2123,42010,,Webster,Jayne S.,external,,"Otago Polytechnic, NZL"
jc112299,Bonassi,Marianne,2123,42010,,Meredith,Pamela J.,external,,The University of Queensland
jc112299,Bonassi,Marianne,2123,42010,,Batten,Rachel,external,,Edith Cowan University
jc112299,Bonassi,Marianne,2123,42010,,Bowman,Siann,external,,La Trobe University
jc112299,Bonassi,Marianne,2123,42010,,Bruce,Rosie,external,,University of the Sunshine Coast
jc112299,Bonassi,Marianne,2123,44396,,Hamilton,Anita,external,,University of the Sunshine Coast
jc112299,Bonassi,Marianne,2123,44396,,Copley,Jodie,external,,The University of Queensland
jc112299,Bonassi,Marianne,2123,44396,X15153,Thomas,Yvonne,external,,"University of Worcester, UK"
jc112299,Bonassi,Marianne,2123,44396,X05186,Edwards,Ann,external,,Mater Health Services
jc112299,Bonassi,Marianne,2123,44396,X05185,Broadbridge,Jacqui,external,,Commonwealth Rehabilitation Services
jc112299,Bonassi,Marianne,2123,44396,X11134,Fitzgerald,Cate,external,,Queensland Health
jc112299,Bonassi,Marianne,2123,44396,,Newton,Julie,external,,Occupational Therapy Australia
jc112299,Bonassi,Marianne,2123,44734,jc223422,Eagers,Jackie,staff,2123,James Cook University
jc112299,Bonassi,Marianne,2123,44734,,Kaesehagen,Colleen,external,,James Cook University
jc112299,Bonassi,Marianne,2123,44734,jc144747,Lasen,Michelle,staff,1310,
jc112299,Bonassi,Marianne,2123,44734,jc227100,Brown,Nicole,staff,2123,
jc112299,Bonassi,Marianne,2123,44734,sci-rmk,Sealey,Rebecca,staff,2126,
jc113544,Hall,Fiona,2125,44668,jc133798,Helmes,Edward,staff,2125,
jc114898,Mitchell,David,2220,21651,jc162366,Baune,Bernhard T.,external,0001,University of Adelaide
jc114898,Mitchell,David,2220,21651,,Czira,Maria E.,external,0001,University of Adelaide
jc114898,Mitchell,David,2220,21651,jy070127,Smith,Annie L.,staff,2220,
jc114898,Mitchell,David,2220,21651,jc159065,Sinnamon,Grant,student,2131,
jc114898,Mitchell,David,2220,23574,jc157058,Laing,Katharine A.,student,2250,James Cook University
jc114898,Mitchell,David,2220,23574,X11902,Wersching,Heike,external,0001,"University of Muenster, Germany"
jc114898,Mitchell,David,2220,23574,,Czira,Maria E.,external,0001,"University of Muenster, Germany"
jc114898,Mitchell,David,2220,23574,X04798,Berger,Klaus,external,0001,"University of Muenster, Germany"
jc114898,Mitchell,David,2220,23574,jc162366,Baune,Bernhard T.,external,0001,University of Adelaide
jc114898,Mitchell,D.,2120,46430,jc159687,Quinn,Z.,student,2131,
jc114898,Mitchell,D.,2120,46430,jc157023,Anscomb,H.,student,2130,
jc114898,Mitchell,D.,2120,46430,jc162366,Baune,B.,external,,University of Adelaide
jc114898,Mitchell,D.,2120,46431,jc159687,Quinn,Z.,student,2131,
jc114898,Mitchell,D.,2120,46431,jc157023,Anscomb,H.,staff,2131,
jc114898,Mitchell,D.,2120,46431,jc162366,Baune,B.,external,,University of Adelaide
jc115823,Sinclair,Wade,2126,25132,jc235753,Brownsberger,Jarrod,student,2126,James Cook University
jc115823,Sinclair,Wade H.,2126,21865,jc169359,Edmonds,Rohan C.,student,2126,
jc115823,Sinclair,Wade H.,2126,21865,jc121482,Leicht,Anthony S.,staff,2126,
jc115823,Sinclair,Wade Heath,2126,22895,jc168650,McGuckin,Teneale Alyce,staff,2126,
jc115823,Sinclair,Wade Heath,2126,22895,sci-rmk,Sealey,Rebecca Maree,staff,2126,
jc115823,Sinclair,Wade Heath,2126,22895,X12245,Bowman,Paul,external,0001,North Queensland Cowboys Rugby League
jc115823,Sinclair,Wade,2126,22896,jc168650,McGuckin,Teneale,staff,2126,
jc115823,Sinclair,Wade,2126,22896,sci-rmk,Sealey,Rebecca,staff,2126,
jc115823,Sinclair,Wade,2126,22899,jc195888,Pringle,Fiona,student,2126,
jc115823,Sinclair,Wade,2126,22899,sci-rmk,Sealey,Rebecca,staff,2126,
jc115823,Sinclair,Wade,2126,22899,X12245,Bowman,Paul,external,0001,North Queensland Cowboys rugby league
jc115823,Sinclair,Wade,2126,23752,X11708,Marshall,Nick J.,external,0001,"Surf Life Physio, QLD"
jc115823,Sinclair,Wade,2126,26867,jc211043,Hogarth,Luke,student,2126,
jc115823,Sinclair,Wade,2126,26867,jc153932,Deakin,Glen,staff,2126,
jc115823,Sinclair,W.,2126,26819,jc156979,Artis,J.,student,2126,
jc115823,Sinclair,Wade H.,2126,26868,jc195888,Pringle,Fiona A.,student,2126,
jc115823,Sinclair,Wade H.,2126,26868,sci-rmk,Sealey,Rebecca M.,staff,2126,
jc115823,Sinclair,Wade H.,2126,26868,X12245,Bowman,Paul W.,external,0001,North Queensland Cowboys Rugby League Club
jc115823,Sinclair,W.H.,2126,30516,jc169359,Edmonds,R.C.,student,2126,
jc115823,Sinclair,W.H.,2126,30516,jc121482,Leicht,A.S.,staff,2126,
jc115823,Sinclair,Wade,2126,27752,,Bennett,Elaine,external,0001,"Ngala, WA"
jc115823,Sinclair,Wade,2126,27752,,Hauck,Yvonne,external,0001,Curtin University of Technology
jc115823,Sinclair,Wade,2126,27752,,Bindahneem,Sakina,external,0001,"Ngala, WA"
jc115823,Sinclair,Wade,2126,27752,,Banham,Vicki,external,0001,Edith Cowan University
jc115823,Sinclair,Wade,2126,27752,,Owens,Margaret,external,0001,"Ngala, WA"
jc115823,Sinclair,Wade,2126,27752,X13158,Priddis,Lynn E.,external,0001,Curtin University of Technology
jc115823,Sinclair,Wade,2126,27752,,Wells,Gail,external,0001,"Ngala, WA"
jc115823,Sinclair,Wade,2126,27752,jc249310,Shields,Linda,external,0001,Curtin University of Technology
jc115823,Sinclair,Wade,2126,33807,jc210552,Connor,Jonathan,student,2126,
jc115823,Sinclair,Wade,2126,33807,jc153691,Doma,Kenji,staff,2126,
jc115823,Sinclair,Wade,2126,33807,jc239830,Bowman,Paul,staff,2126,
jc115823,Sinclair,W.H.,2126,35521,jc142126,Turner,D.R.,staff,2111,
jc115823,Sinclair,W.H.,2126,35521,,Knez,W.L.,external,,"Qatar Orthopaedic and Sports Medicine Hospital, Qatar"
jc115823,Sinclair,Wade,2126,38690,X16286,Fisher,Rhiannon,external,,Bond University
